politica_s_S,componente,teorico_aprox,python_media,python_ic95_inf,python_ic95_sup,anylogic
"(20,100)",costo_orden,35338.56537006991,34600.0,34296.20242674234,34903.79757325766,
"(20,100)",costo_mantenimiento,10754.53266648126,13025.577632838627,12950.392084249355,13100.7631814279,
"(20,100)",costo_faltante,78211.83539291871,87165.0,84217.49257451361,90112.50742548639,
"(20,100)",costo_total,124304.93342946988,134790.57763283863,131801.55768174503,137779.59758393222,
"(40,100)",costo_orden,52322.79921661594,51316.666666666664,50919.94668298776,51713.38665034557,
"(40,100)",costo_mantenimiento,14306.798999721888,12991.062203621426,12879.930559068269,13102.193848174584,
"(40,100)",costo_faltante,40325.603672497906,50560.0,48118.89642780132,53001.10357219868,
"(40,100)",costo_total,106955.20188883573,114867.72887028809,112246.59533328,117488.86240729618,
"(60,100)",costo_orden,82794.7467131952,72883.33333333333,72365.23419263908,73401.43247402758,
"(60,100)",costo_mantenimiento,21411.33166620315,14316.702976481003,14157.033907434821,14476.372045527185,
"(60,100)",costo_faltante,11138.158036484758,27758.333333333332,25642.508303320945,29874.15836334572,
"(60,100)",costo_total,115344.23641588312,114958.36964314766,112721.8816340204,117194.8576522749,
"(40,150)",costo_orden,30813.295115267276,30683.333333333332,30379.206297259785,30987.46036940688,
"(40,150)",costo_mantenimiento,23431.79899972189,22073.03029716734,21907.037185081786,22239.023409252895,
"(40,150)",costo_faltante,23748.055250595,30125.0,28000.120031829858,32249.879968170142,
"(40,150)",costo_total,77993.14936558416,82881.36363050067,80783.01665651138,84979.71060448996,
"(60,150)",costo_orden,39339.94300488559,39433.333333333336,39038.89176799389,39827.77489867278,
"(60,150)",costo_mantenimiento,30536.33166620315,24330.325024311656,24159.12866934943,24501.521379273883,
"(60,150)",costo_faltante,5292.298361061185,9936.666666666666,8740.956757905364,11132.376575427968,
"(60,150)",costo_total,75168.57303214991,73700.32502431165,72396.70665694852,75003.94339167478,
